project_id,name,type,states,districts,land_required_ha,land_acquired_ha,status,is_delayed_30d
PROJ-1000,Tamil Nadu Port Corridor #1,Port,Tamil Nadu,Jodhpur,290.67,0.0,ACTIVE,1
PROJ-1001,Tamil Nadu Metro Corridor #2,Metro,Tamil Nadu,Vadodara,692.92,0.0,ACTIVE,0
PROJ-1002,Gujarat Highway Corridor #3,Highway,Gujarat,Jodhpur,261.48,0.0,ACTIVE,1
PROJ-1003,Rajasthan Railway Corridor #4,Railway,Rajasthan,Vadodara,552.17,0.0,ACTIVE,1
PROJ-1004,Maharashtra Metro Corridor #5,Metro,Maharashtra,Pune,534.98,0.0,ACTIVE,1
PROJ-1005,Maharashtra Port Corridor #6,Port,Maharashtra,Jaipur,120.44,0.0,ACTIVE,1
PROJ-1006,Karnataka Industrial Corridor #7,Industrial,Karnataka,Thane,664.51,0.0,ACTIVE,1
PROJ-1007,Rajasthan Highway Corridor #8,Highway,Rajasthan,Vadodara,89.9,0.0,ACTIVE,1
PROJ-1008,Maharashtra Highway Corridor #9,Highway,Maharashtra,Pune,634.08,0.0,ACTIVE,0
PROJ-1009,Tamil Nadu Metro Corridor #10,Metro,Tamil Nadu,Jaipur,879.12,0.0,ACTIVE,1
PROJ-1010,Karnataka Port Corridor #11,Port,Karnataka,Raigad,591.65,0.0,ACTIVE,1
PROJ-1011,Maharashtra Port Corridor #12,Port,Maharashtra,Jodhpur,1151.66,0.0,ACTIVE,1
PROJ-1012,Gujarat Port Corridor #13,Port,Gujarat,Jaipur,854.09,0.0,ACTIVE,0
PROJ-1013,Karnataka Port Corridor #14,Port,Karnataka,Jaipur,325.03,0.0,ACTIVE,1
PROJ-1014,Maharashtra Railway Corridor #15,Railway,Maharashtra,Vadodara,431.7,0.0,ACTIVE,1
PROJ-1015,Rajasthan Metro Corridor #16,Metro,Rajasthan,Vadodara,786.09,0.0,ACTIVE,0
PROJ-1016,Maharashtra Highway Corridor #17,Highway,Maharashtra,Jodhpur,176.11,0.0,ACTIVE,1
PROJ-1017,Tamil Nadu Railway Corridor #18,Railway,Tamil Nadu,Jodhpur,1097.25,0.0,ACTIVE,1
PROJ-1018,Tamil Nadu Industrial Corridor #19,Industrial,Tamil Nadu,Vadodara,968.61,0.0,ACTIVE,1
PROJ-1019,Maharashtra Industrial Corridor #20,Industrial,Maharashtra,Surat,666.01,0.0,ACTIVE,0
PROJ-1020,Gujarat Industrial Corridor #21,Industrial,Gujarat,Jaipur,369.21,0.0,ACTIVE,0
PROJ-1021,Karnataka Railway Corridor #22,Railway,Karnataka,Jaipur,71.09,0.0,ACTIVE,0
PROJ-1022,Gujarat Port Corridor #23,Port,Gujarat,Vadodara,943.98,0.0,ACTIVE,1
PROJ-1023,Maharashtra Railway Corridor #24,Railway,Maharashtra,Surat,934.55,0.0,ACTIVE,0
PROJ-1024,Maharashtra Industrial Corridor #25,Industrial,Maharashtra,Surat,546.49,0.0,ACTIVE,1
PROJ-1025,Tamil Nadu Highway Corridor #26,Highway,Tamil Nadu,Jaipur,239.93,0.0,ACTIVE,1
PROJ-1026,Rajasthan Industrial Corridor #27,Industrial,Rajasthan,Jodhpur,628.51,0.0,ACTIVE,1
PROJ-1027,Tamil Nadu Highway Corridor #28,Highway,Tamil Nadu,Jodhpur,492.6,0.0,ACTIVE,1
PROJ-1028,Tamil Nadu Industrial Corridor #29,Industrial,Tamil Nadu,Vadodara,455.47,0.0,ACTIVE,1
PROJ-1029,Maharashtra Industrial Corridor #30,Industrial,Maharashtra,Jodhpur,303.48,0.0,ACTIVE,1
PROJ-1030,Rajasthan Port Corridor #31,Port,Rajasthan,Vadodara,99.24,0.0,ACTIVE,0
PROJ-1031,Rajasthan Port Corridor #32,Port,Rajasthan,Vadodara,477.85,0.0,ACTIVE,0
PROJ-1032,Gujarat Metro Corridor #33,Metro,Gujarat,Thane,899.79,0.0,ACTIVE,1
PROJ-1033,Gujarat Metro Corridor #34,Metro,Gujarat,Raigad,501.06,0.0,ACTIVE,0
PROJ-1034,Tamil Nadu Industrial Corridor #35,Industrial,Tamil Nadu,Pune,251.75,0.0,ACTIVE,1
PROJ-1035,Tamil Nadu Industrial Corridor #36,Industrial,Tamil Nadu,Raigad,498.09,0.0,ACTIVE,1
PROJ-1036,Tamil Nadu Metro Corridor #37,Metro,Tamil Nadu,Jodhpur,847.22,0.0,ACTIVE,0
PROJ-1037,Gujarat Industrial Corridor #38,Industrial,Gujarat,Raigad,913.89,0.0,ACTIVE,1
PROJ-1038,Tamil Nadu Industrial Corridor #39,Industrial,Tamil Nadu,Raigad,573.53,0.0,ACTIVE,0
PROJ-1039,Gujarat Railway Corridor #40,Railway,Gujarat,Vadodara,603.7,0.0,ACTIVE,1
PROJ-1040,Maharashtra Industrial Corridor #41,Industrial,Maharashtra,Jaipur,577.74,0.0,ACTIVE,0
PROJ-1041,Karnataka Railway Corridor #42,Railway,Karnataka,Surat,398.59,0.0,ACTIVE,1
PROJ-1042,Gujarat Port Corridor #43,Port,Gujarat,Raigad,808.62,0.0,ACTIVE,0
PROJ-1043,Maharashtra Highway Corridor #44,Highway,Maharashtra,Pune,399.28,0.0,ACTIVE,0
PROJ-1044,Gujarat Metro Corridor #45,Metro,Gujarat,Vadodara,200.59,0.0,ACTIVE,1
PROJ-1045,Rajasthan Metro Corridor #46,Metro,Rajasthan,Jaipur,437.95,0.0,ACTIVE,0
PROJ-1046,Gujarat Port Corridor #47,Port,Gujarat,Surat,340.83,0.0,ACTIVE,1
PROJ-1047,Tamil Nadu Metro Corridor #48,Metro,Tamil Nadu,Jaipur,1176.5,0.0,ACTIVE,0
PROJ-1048,Rajasthan Highway Corridor #49,Highway,Rajasthan,Thane,1145.79,0.0,ACTIVE,0
PROJ-1049,Gujarat Port Corridor #50,Port,Gujarat,Jaipur,487.36,0.0,ACTIVE,1
PROJ-1050,Maharashtra Industrial Corridor #51,Industrial,Maharashtra,Pune,429.99,0.0,ACTIVE,0
PROJ-1051,Maharashtra Industrial Corridor #52,Industrial,Maharashtra,Thane,742.33,0.0,ACTIVE,0
PROJ-1052,Karnataka Highway Corridor #53,Highway,Karnataka,Thane,713.41,0.0,ACTIVE,0
PROJ-1053,Tamil Nadu Highway Corridor #54,Highway,Tamil Nadu,Jaipur,519.91,0.0,ACTIVE,0
PROJ-1054,Karnataka Highway Corridor #55,Highway,Karnataka,Raigad,67.28,0.0,ACTIVE,0
PROJ-1055,Rajasthan Industrial Corridor #56,Industrial,Rajasthan,Surat,118.74,0.0,ACTIVE,0
PROJ-1056,Gujarat Highway Corridor #57,Highway,Gujarat,Thane,1186.92,0.0,ACTIVE,1
PROJ-1057,Karnataka Metro Corridor #58,Metro,Karnataka,Raigad,982.55,0.0,ACTIVE,1
PROJ-1058,Karnataka Metro Corridor #59,Metro,Karnataka,Surat,181.86,0.0,ACTIVE,0
PROJ-1059,Tamil Nadu Highway Corridor #60,Highway,Tamil Nadu,Raigad,1057.47,0.0,ACTIVE,1
PROJ-1060,Tamil Nadu Industrial Corridor #61,Industrial,Tamil Nadu,Jodhpur,915.05,0.0,ACTIVE,0
PROJ-1061,Gujarat Industrial Corridor #62,Industrial,Gujarat,Thane,856.23,0.0,ACTIVE,1
PROJ-1062,Gujarat Metro Corridor #63,Metro,Gujarat,Thane,235.19,0.0,ACTIVE,1
PROJ-1063,Rajasthan Metro Corridor #64,Metro,Rajasthan,Raigad,269.4,0.0,ACTIVE,0
PROJ-1064,Karnataka Port Corridor #65,Port,Karnataka,Vadodara,615.18,0.0,ACTIVE,1
PROJ-1065,Tamil Nadu Metro Corridor #66,Metro,Tamil Nadu,Vadodara,304.51,0.0,ACTIVE,0
PROJ-1066,Karnataka Metro Corridor #67,Metro,Karnataka,Raigad,206.19,0.0,ACTIVE,1
PROJ-1067,Tamil Nadu Industrial Corridor #68,Industrial,Tamil Nadu,Surat,227.19,0.0,ACTIVE,1
PROJ-1068,Karnataka Railway Corridor #69,Railway,Karnataka,Jaipur,856.36,0.0,ACTIVE,0
PROJ-1069,Karnataka Port Corridor #70,Port,Karnataka,Jaipur,1062.04,0.0,ACTIVE,1
PROJ-1070,Tamil Nadu Highway Corridor #71,Highway,Tamil Nadu,Pune,938.94,0.0,ACTIVE,0
PROJ-1071,Karnataka Industrial Corridor #72,Industrial,Karnataka,Jodhpur,543.57,0.0,ACTIVE,0
PROJ-1072,Gujarat Metro Corridor #73,Metro,Gujarat,Surat,650.28,0.0,ACTIVE,0
